Name	CUTOS	CUTOT	CUTOU	CUTOW	CUTOX	CWYAU
jgi|MorGBAus27b_1|436260|fgenesh1_kg.2_#_1600_#_TRINITY_DN6669_c4_g1_i4	0	0	0	0	0	0.103429
Pp3c5_12730V3.1	0	0	0.249663	0.140962	0.127075	0
Pp3c19_2560V3.1	0.25796	0.127841	0.323246	0.496836	0.457568	0.078328
Pp3c5_25630V3.1	4.73717	3.35285	3.1702	2.7719	4.59188	1.88297
Pp3c5_860V3.1	0.031901	0.073494	0	0.036129	0.075475	0
Pp3c5_1269V3.1	0.296915	0.246202	0.281567	0.117285	0	0.486301
Pp3c5_12370V3.1	0	0	0	0	0	0
Pp3c13_6860V3.2	6193.3	8023.85	6264.84	8120.15	6061.05	3814.4
Pp3c15_21940V3.2	8.00305	11.1151	2.75828	14.1326	9.31633	0
Pp3c5_10150V3.2	12.3546	7.96077	13.6567	12.0395	6.05466	0.646415
Pp3c5_14660V3.3	8.31093	8.56108	9.09222	8.90757	5.93812	10.0284
Pp3c19_10820V3.3	0	0	0.091702	0	0	0
Pp3c8_25080V3.1	0.032671	0.22452	0.252502	0.72802	1.11164	0.201731
Pp3c5_11800V3.3	0	0	0	0	0	0
Pp3c5_12030V3.1	30.0539	53.6485	68.0469	84.8319	136.627	66.2648
Pp3c5_7030V3.1	0	0	0	0	0	0
Pp3c7_8990V3.1	210.869	204.377	246.402	211.965	254.758	139.926
Pp3c5_8950V3.1	0.24789	0.198671	0.402652	0.455158	1.23638	0
Pp3c25_2230V3.3	0	0.032682	0.195364	0.082513	0	0
Pp3c18_14648V3.1	0	0	0	0	0	0
jgi|MorGBAus27b_1|431838|fgenesh1_pg.73_#_15	0	0	0	0	0	0
jgi|MorGBAus27b_1|531428|estExt_Genemark1.C_250099	0	0	0.100479	0	0	0
Pp3c5_8620V3.1	0	0	0.177776	0	0.111044	0.174969
Pp3c5_26960V3.1	0	0	0	0	0	0
Pp3c21_4900V3.1	1.58664	5.2345	2.38578	2.34088	4.98931	4.25653
Pp3c11_21367V3.1	1.333	4.30501	4.12133	2.22897	5.92826	3.24495
Pp3c5_8260V3.1	0	0	0	0	0	0
Pp3c3_9140V3.1	0	0	0	0	0	0
Pp3c5_15380V3.1	0.423804	0.104482	0.217434	0.243075	0.278188	0.087519
Pp3c6_19310V3.1	0	0	0	0	0	0
Pp3c5_25540V3.1	0	0	0	0	0	0.551503
Pp3c20_15080V3.1	0	0	0	0	0	0
Pp3c16_14629V3.1	0	0	0	0	0	0
Pp3c5_15200V3.1	0	0	0	0	0	0
Pp3c25_1280V3.2	0.730224	0	0	0.163148	0	0
