Name	CUTON	CUTOO	CUTOP
Pp3c16_18010V3.1	0.095691	0.266719	0
Pp3c16_22301V3.1	2.64119	3.1894	1.88777
Pp3c16_14300V3.2	0.657733	0.203074	3.0642
Pp3c16_10380V3.1	0	0	0
Pp3c16_1000V3.2	10.5349	9.64277	9.85957
Pp3c16_1000V3.1	17.7342	16.2532	21.4222
Pp3c16_21040V3.9	0.673543	0.204996	0.724756
Pp3c16_13550V3.4	0	0	0
Pp3c16_13550V3.2	0	0	0
Pp3c16_13550V3.1	0	0	0
Pp3c16_2530V3.1	0	0	0
Pp3c16_21590V3.1	0	0	0
Pp3c16_20970V3.1	4.6005	3.60943	4.74823
Pp3c16_19330V3.1	0	0	0
Pp3c16_70V3.1	0	0	0
Pp3c16_15310V3.1	0.114614	0	0.279948
Pp3c16_14431V3.1	0.054871	0.082551	0
Pp3c16_12620V3.1	10.5672	9.10186	14.0152
Pp3c16_7280V3.2	0.788012	0.722401	2.04127
Pp3c16_14030V3.3	0	0	0
Pp3c16_14030V3.1	1.70683	1.50822	2.42555
Pp3c16_16391V3.1	5.32276	5.82129	2.63951
Pp3c16_11670V3.5	0.032785	0	0
Pp3c16_11670V3.4	0	0	0.406159
Pp3c16_240V3.1	29.5285	32.0027	24.1385
Pp3c16_15270V3.1	64.902	62.2859	63.4334
Pp3c16_7080V3.1	2.36718	2.09907	2.54706
Pp3c16_21630V3.1	6.60645	5.99853	7.77537
Pp3c16_20190V3.2	0.046955	0	0
Pp3c16_22670V3.7	0.043927	0	0
Pp3c16_13412V3.1	0.143888	0.036968	0.064661
Pp3c16_15060V3.1	15.3564	11.5744	12.6868
Pp3c16_3160V3.1	1.42635	1.77662	1.17568
Pp3c16_19250V3.5	6.10785	10.0248	0
Pp3c16_19250V3.4	0	0	0
Pp3c16_5230V3.7	1.20104	1.07637	2.23031
Pp3c16_5230V3.6	0.73739	0	0
Pp3c16_5230V3.5	0	0	0
Pp3c16_5230V3.2	0.525839	0.158696	0.659742
Pp3c16_16440V3.2	44.1184	38.5255	30.3005
Pp3c16_10047V3.1	12.0303	17.8933	8.48017
Pp3c16_8100V3.1	0	0	2.90881
Pp3c16_14960V3.2	0	0	0
Pp3c16_18360V3.1	6.27675	4.96119	3.99826
Pp3c16_19220V3.1	9.89854	29.5293	50.4001
Pp3c16_17030V3.1	7.43703	6.12057	5.56478
Pp3c16_12030V3.2	0	0	13.6668
Pp3c16_12030V3.1	14.1868	18.9667	14.984
Pp3c16_12900V3.1	4.52935	3.83198	3.63361
Pp3c16_17060V3.1	5.92367	7.57764	8.52432
Pp3c16_17060V3.2	16.0239	15.9593	20.2372
Pp3c16_7230V3.2	6.22572	7.08257	3.16364
Pp3c16_8820V3.6	0	0	0
Pp3c16_8820V3.4	0.130286	0	0
Pp3c16_8820V3.2	0	0.124846	0
Pp3c16_13360V3.1	12.2899	9.09633	9.22928
Pp3c16_11310V3.2	0.798121	0.554942	0.32292
Pp3c16_11310V3.1	1.92466	1.68461	1.27977
Pp3c16_25520V3.3	13.04	15.4828	17.4369
Pp3c16_25520V3.1	31.599	27.1914	11.1049
Pp3c16_8500V3.1	22.1881	19.6086	12.8835
Pp3c16_8520V3.1	0	0	0
Pp3c16_8870V3.7	0	0	0
Pp3c16_8870V3.2	0	0.698943	0.612714
Pp3c16_16990V3.4	0	0	0
Pp3c16_18760V3.1	2.5087	1.98487	2.12586
Pp3c16_1070V3.1	17.3122	16.7907	16.3744
Pp3c16_13081V3.1	0.419729	0.811287	1.59567
Pp3c16_2600V3.1	0.496345	0.311662	0
Pp3c16_16420V3.2	59.3348	68.3485	39.1561
Pp3c16_16420V3.1	196.778	209.487	217.104
Pp3c16_2450V3.1	0	0	0
Pp3c16_4220V3.4	0.686935	0.937033	2.61923
Pp3c16_12980V3.1	2.64569	2.02522	2.07898
Pp3c16_25190V3.4	0	0	0
Pp3c16_25190V3.1	0	0	0
Pp3c16_25190V3.2	2.34422	2.09613	1.55912
Pp3c16_18330V3.1	1.84536	1.98922	2.59367
Pp3c16_19530V3.1	0.154356	0.344227	0.794166
Pp3c16_8410V3.1	0.275754	0.423769	0.562505
Pp3c16_4760V3.1	0	0.161577	0.136367
Pp3c16_22979V3.1	0	2.02333	0
Pp3c16_19970V3.1	0	0	0
Pp3c16_21440V3.1	134.317	152.507	135.504
Pp3c16_8340V3.1	0	0.078398	0
Pp3c16_818V3.1	0.247332	1.2119	0.205728
Pp3c16_1430V3.1	3.96948	3.86534	1.81786
Pp3c16_5450V3.1	0.016554	0	0
Pp3c16_13970V3.2	0	0	0
Pp3c16_13970V3.1	62.1426	47.3973	45.7602
Pp3c16_21460V3.3	0.274785	2.03207	0.276934
Pp3c16_15090V3.1	4.60566	5.50414	7.76686
Pp3c16_4180V3.1	10.5086	10.38	9.61709
Pp3c16_11240V3.1	0	0	0
Pp3c16_12220V3.1	0	0	0
Pp3c16_13430V3.1	3.89767	4.72792	4.18347
Pp3c16_26110V3.1	0	0	0
Pp3c16_8660V3.1	0.177726	0	1.97734
Pp3c16_9080V3.1	23.0019	18.1785	13.3723
Pp3c16_25620V3.1	0	0	0
Pp3c16_17760V3.1	16.6106	10.7596	6.74003
Pp3c16_14050V3.1	1.95565	2.33285	2.25395
Pp3c16_25220V3.1	3.91032	5.70108	2.69721
Pp3c16_8610V3.7	0.375808	0.161916	0.038203
Pp3c16_19510V3.1	0	0	0
Pp3c16_6590V3.1	0	0	0
Pp3c16_6590V3.2	2.86253	2.64561	2.66213
Pp3c16_11410V3.1	29.841	26.596	35.852
Pp3c16_12240V3.2	0	0	0
Pp3c16_13580V3.1	1.34129	2.78474	3.19989
Pp3c16_9370V3.1	3.10733	2.50691	2.81284
Pp3c16_1710V3.7	0.281114	0.314059	0.149486
Pp3c16_16800V3.1	0.959168	0.827251	0.891193
Pp3c16_1020V3.1	66.8659	58.158	64.0299
Pp3c16_3200V3.1	0	0	0
Pp3c16_3770V3.1	27.7632	39.7144	58.8121
Pp3c16_6050V3.1	0	0	0
Pp3c16_4650V3.4	0	0	0
Pp3c16_8600V3.3	2.93979	0	3.76553
Pp3c16_16660V3.4	1.42188	1.6365	0.824408
Pp3c16_19930V3.1	4.27348	4.48107	4.49463
Pp3c16_13390V3.1	0.792254	0.658495	0.630659
Pp3c16_21410V3.1	1.4695	1.81616	1.35093
Pp3c16_9330V3.1	0.924041	0	3.00887
Pp3c16_9330V3.4	0	0	0
Pp3c16_188V3.3	0	0	0
Pp3c16_5700V3.4	2.8696	4.80572	7.76611
Pp3c16_5700V3.1	7.3809	9.51866	9.39234
Pp3c16_5619V3.1	8.57944	8.02215	10.7628
Pp3c16_8400V3.1	45.9633	48.9592	44.1373
Pp3c16_2250V3.1	0.480763	0.303652	0.37276
Pp3c16_1660V3.1	0	0	0
Pp3c16_250V3.1	0.095588	0.081988	0.053261
Pp3c16_12180V3.2	0	0	0
Pp3c16_12180V3.1	0.006509	0.017535	0
Pp3c16_980V3.1	0	0.263291	1.82046
Pp3c16_19090V3.6	0	0	0
Pp3c16_19090V3.7	0	0	0
Pp3c16_19090V3.9	4.57086	3.68545	1.65062
Pp3c16_25690V3.1	0	0	0
Pp3c16_16730V3.2	0	0	0
Pp3c16_16730V3.1	0	0	0
Pp3c16_4520V3.1	33.9653	32.9429	48.0765
Pp3c16_5650V3.1	1893.23	2144.46	2179.8
Pp3c16_19280V3.1	0	0	0
Pp3c16_18085V3.1	25.5676	40.279	23.4378
Pp3c16_13980V3.1	0	0	0
Pp3c16_14770V3.1	0	0	0
Pp3c16_8180V3.1	3.80027	3.21933	4.81921
Pp3c16_19750V3.3	0	1.24767	0
Pp3c16_16020V3.1	0	0	0
Pp3c16_12470V3.1	18.2813	16.3287	24.8731
Pp3c16_13660V3.2	6.2257	4.91413	3.70326
Pp3c16_13660V3.1	6.9819	6.37557	7.42609
Pp3c16_18800V3.3	0	0	0
Pp3c16_16398V3.1	0.119442	0	0
Pp3c16_12110V3.1	21.654	20.0079	21.2938
Pp3c16_7664V3.1	0	0.349388	0
Pp3c16_10880V3.1	13.0536	11.7167	10.9604
Pp3c16_640V3.1	0	0	0
Pp3c16_2110V3.2	1.07552	0	1.61545
Pp3c16_2110V3.1	0.141883	0.389753	0
Pp3c16_3900V3.2	0	0	0
Pp3c16_16010V3.1	0	0	0
Pp3c16_16010V3.3	5.85942	4.01924	5.60296
Pp3c16_16010V3.5	1.24268	1.75256	1.50345
Pp3c16_25600V3.1	5.19775	4.07773	5.04615
Pp3c16_2020V3.1	0	0	4.32443
Pp3c16_880V3.1	8.02079	8.09163	7.98844
Pp3c16_19420V3.1	0	0	0
Pp3c16_8630V3.1	5.08533	3.57857	7.4289
Pp3c16_21740V3.1	0	0	0
Pp3c16_14290V3.1	3.49666	2.43057	0.975599
Pp3c16_7200V3.2	0	0	0.054867
Pp3c16_7200V3.1	0.205525	0.106864	0
Pp3c16_7830V3.1	5.93913	5.04914	7.1653
Pp3c16_13139V3.1	1.82435	1.15092	2.12823
Pp3c16_11740V3.1	72.4182	62.8166	24.3361
Pp3c16_9590V3.3	0	0	0
Pp3c16_5130V3.1	0	0	0
Pp3c16_7090V3.1	9.1465	6.58055	9.15972
Pp3c16_7180V3.1	77.5842	77.7487	87.0547
Pp3c16_17390V3.1	105.372	67.4145	84.3435
Pp3c16_12920V3.1	6.1725	5.01947	5.29891
Pp3c16_2830V3.2	1.84697	0	0
Pp3c16_17280V3.1	2.29275	2.1416	2.6197
Pp3c16_21950V3.1	0	0	0
Pp3c16_12790V3.3	0	0	0
Pp3c16_6830V3.4	3.35147	0	4.3714
Pp3c16_1480V3.1	2.66074	2.35376	1.7551
Pp3c16_16830V3.1	0	0	1.59266
Pp3c16_16830V3.2	3.65947	3.23763	1.92713
Pp3c16_19440V3.1	10.0558	7.51558	9.88288
Pp3c16_4920V3.1	1.51218	1.97877	1.31991
Pp3c16_15070V3.1	3.91869	3.88428	2.46559
Pp3c16_7220V3.1	5.09138	4.01343	4.51758
Pp3c16_2340V3.1	7.93694	6.85031	5.72423
Pp3c16_16230V3.1	0	0	0
Pp3c16_9100V3.1	0	0	0
Pp3c16_20850V3.1	0	0	0.50164
Pp3c16_20850V3.5	0.505714	0.390508	0.149649
Pp3c16_8800V3.3	8.09902	3.17645	19.735
Pp3c16_8800V3.2	3.365	6.12766	1.38824
Pp3c16_8800V3.1	23.1516	19.2405	5.30294
Pp3c16_20660V3.3	0.431408	0	0
Pp3c16_5970V3.1	0.391398	0	0
Pp3c16_2030V3.3	0	0.791658	4.4792
Pp3c16_2030V3.4	0	0	0
Pp3c16_2030V3.1	7.13869	5.327	3.51902
Pp3c16_7770V3.1	20.0193	25.0705	26.9971
Pp3c16_16280V3.1	6.70539	7.06534	6.21792
Pp3c16_13170V3.1	24.7966	39.6105	71.2491
Pp3c16_23790V3.1	34.3385	25.0777	28.2286
Pp3c16_890V3.1	4.28316	3.45283	2.94698
Pp3c16_26081V3.1	50.1724	45.1491	28.5632
Pp3c16_8560V3.1	19.1436	16.6378	13.7435
Pp3c16_270V3.2	5.04605	4.36205	6.75486
Pp3c16_270V3.1	5.64964	4.23523	4.0468
Pp3c16_15899V3.1	0.457564	0	0.54282
Pp3c16_9240V3.2	1.02369	0.540899	1.73655
Pp3c16_9240V3.3	3.00339	3.32487	1.39758
Pp3c16_15750V3.1	0	0	0
Pp3c16_15370V3.1	0	0	0
Pp3c16_13490V3.1	19.4421	19.0318	21.5987
Pp3c16_11020V3.3	7.5572	8.16155	9.27168
Pp3c16_7820V3.1	36.6753	36.5207	39.9173
Pp3c16_17130V3.2	0	0	8.78896
Pp3c16_12740V3.1	0	0	0
Pp3c16_20040V3.3	0	0	0
