Name	CUTOZ	CUTPA	CUTPB	CUTPC	CUTPG	CUTPH
jgi|MoeNVP64_1|8166|CE7645_730	0	0	0	0.3512	0.275455	2.07069
jgi|MoeNVP64_1|81520|CE80999_8589	0	0	0	16.2446	7.59128	50.7978
jgi|MoeNVP64_1|81428|CE80907_413	0	0	0	0.077386	0.100539	0.955357
jgi|MoeNVP64_1|81273|CE80752_1021	0	0	0	0.154669	0.169015	0.520783
jgi|MoeNVP64_1|81214|CE80693_4608	0	0	0	0.15705	0.150596	1.23872
jgi|MoeNVP64_1|8040|CE7519_648	0	0	0	0	0	0
jgi|MoeNVP64_1|80381|CE79860_1441	0	0	0	0.057651	0.029534	0.153792
jgi|MoeNVP64_1|80182|CE79661_4468	0	0	0	0.212385	0.414639	1.44361
jgi|MoeNVP64_1|80037|CE79516_762	0	0	0	0	0	0
jgi|MoeNVP64_1|79905|CE79384_1075	0	0	0	1.54595	0.776767	7.06073
jgi|MoeNVP64_1|7987|CE7466_1373	0	0	0	0.106887	0	0.199803
jgi|MoeNVP64_1|79699|CE79178_2709	0	0	0	0.47516	0.175175	2.83546
jgi|MoeNVP64_1|7949|CE7428_4447	0	0	0	0.306661	0.14873	1.66867
jgi|MoeNVP64_1|79439|CE78918_9173	0	0	0.008353	1.14125	1.00576	7.00234
jgi|MoeNVP64_1|7938|CE7417_5346	0	0	0	0.300947	0.282006	0.885334
jgi|MoeNVP64_1|79208|CE78687_251	0	0	0	0.139746	0	1.40242
jgi|MoeNVP64_1|78607|CE78086_1302	0	0	0	0.028281	0.04348	0.184406
jgi|MoeNVP64_1|78403|CE77882_930	0	0	0	0.115017	0.517156	2.05373
jgi|MoeNVP64_1|78311|CE77790_1194	0	0	0	0.104059	0.041098	0.88087
jgi|MoeNVP64_1|78107|CE77586_193	0	0	0	0	0	0
jgi|MoeNVP64_1|77450|CE76929_1135	0	0	0	0.05807	0.059093	0.183783
jgi|MoeNVP64_1|77439|CE76918_873	0	0	0	0.095515	0.063704	0.303067
jgi|MoeNVP64_1|76972|CE76451_5193	0	0	0	0.341201	0.204092	0.81838
jgi|MoeNVP64_1|76903|CE76382_9887	0	0	0	0.402485	0.434659	3.2951
jgi|MoeNVP64_1|76770|CE76249_1003	0	0	0	0.228687	0.125068	0.215332
jgi|MoeNVP64_1|76238|CE75717_287	0	0	0	0	0	0
jgi|MoeNVP64_1|76220|CE75699_1315	0	0	0	0.393124	0.061308	1.06071
jgi|MoeNVP64_1|76156|CE75635_19	0	0	0	0	0	0
jgi|MoeNVP64_1|76059|CE75538_1869	0	0	0	0	0	0
jgi|MoeNVP64_1|75304|CE74783_1882	0	0	0	0.490617	0.292247	1.67788
jgi|MoeNVP64_1|7504|CE6983_1122	0	0	0	0.33211	0	1.37154
jgi|MoeNVP64_1|74962|CE74441_3134	0	0	0	0.262649	0.3664	2.33928
jgi|MoeNVP64_1|74858|CE74337_852	0	0	0	0.081811	0.121281	0.597343
jgi|MoeNVP64_1|74582|CE74061_10075	0	0	0	1.69458	0.890047	6.79803
jgi|MoeNVP64_1|74565|CE74044_875	0	0	0	0	0	0
jgi|MoeNVP64_1|73763|CE73242_2428	0	0	0	0.177148	0	0.851507
jgi|MoeNVP64_1|73412|CE72891_215	0	0	0	0	0.127789	0.404825
jgi|MoeNVP64_1|73066|CE72545_3116	0	0	0	2.37527	0.844991	10.5757
jgi|MoeNVP64_1|72973|CE72452_1628	0	0	0	0	0	0.056281
jgi|MoeNVP64_1|72904|CE72383_3212	0	0	0	0.17951	0.0636	0.502511
jgi|MoeNVP64_1|72392|CE71871_2641	0	0	0	0.06396	0.066119	0.364461
jgi|MoeNVP64_1|72237|CE71716_738	0	0	0	0.205145	0.093657	3.03429
jgi|MoeNVP64_1|72206|CE71685_1288	0	0	0	0.034049	0	0.496521
jgi|MoeNVP64_1|72155|CE71634_24	0	0	0	0	0	0.139236
jgi|MoeNVP64_1|72058|CE71537_1839	0	0	0	0.037756	0.18736	0.843355
jgi|MoeNVP64_1|71763|CE71242_647	0	0	0	0.100313	0.095816	0.701317
jgi|MoeNVP64_1|71654|CE71133_1049	0	0	0	0	0.036307	0.578123
jgi|MoeNVP64_1|70959|CE70438_1804	0	0	0	0.125171	0.084741	1.36837
jgi|MoeNVP64_1|70711|CE70190_4685	0	0	0	0.674898	0.426206	3.02839
jgi|MoeNVP64_1|69655|CE69134_1014	0	0	0	2.29257	1.84479	14.7598
jgi|MoeNVP64_1|69320|CE68799_848	0	0	0	1.71893	0.786179	4.6379
jgi|MoeNVP64_1|68535|CE68014_46	0	0	0	0	0	0
jgi|MoeNVP64_1|68413|CE67892_1105	0	0	0	0.01785	0.054607	0.349444
jgi|MoeNVP64_1|68309|CE67788_1329	0	0	0	0.018476	0.037649	0.186356
jgi|MoeNVP64_1|68254|CE67733_1612	0	0	0	0.101135	0.120482	0.464872
jgi|MoeNVP64_1|68230|CE67709_4846	0	0	0	1.02362	0.2752	16.1366
jgi|MoeNVP64_1|68029|CE67508_4611	0	0	0	0	0.16775	0.396516
jgi|MoeNVP64_1|67679|CE67158_761	0	0	0	0	0.129575	0.595578
jgi|MoeNVP64_1|67588|CE67067_1586	0	0	0	0	0	1.53107
jgi|MoeNVP64_1|6742|CE6221_11959	0	0	0	1.44837	0.317211	11.5267
jgi|MoeNVP64_1|67421|CE66900_702	0	0	0	0.10641	0.193406	0.450049
jgi|MoeNVP64_1|67414|CE66893_498	0	0	0	0.110546	0.099954	0.300822
jgi|MoeNVP64_1|67352|CE66831_256	0	0	0	0	0.074532	0.602468
jgi|MoeNVP64_1|67330|CE66809_2350	0	0	0	0.04202	0.032466	0.308016
jgi|MoeNVP64_1|67268|CE66747_1910	0	0	0	0.187906	0.192656	0.738416
jgi|MoeNVP64_1|6700|CE6179_6663	0	0	0	1.22892	0.783913	5.00284
jgi|MoeNVP64_1|66577|CE66056_1459	0	0	0	0.039526	0.067036	0.162388
jgi|MoeNVP64_1|66509|CE65988_28	0	0	0	0	0	0
jgi|MoeNVP64_1|66354|CE65833_2782	0	0	0	0.051035	0.049765	0.579171
jgi|MoeNVP64_1|66312|CE65791_1751	0	0	0	0.03497	0.034838	0.468412
jgi|MoeNVP64_1|66182|CE65661_1148	0	0	0	0.706925	0.170575	1.67741
jgi|MoeNVP64_1|66074|CE65553_1228	0	0	0	1.29849	0.978253	5.27162
jgi|MoeNVP64_1|66011|CE65490_139	0	0	0	0.021722	0	0.02585
jgi|MoeNVP64_1|65808|CE65287_9	0	0	0	0	0	0
jgi|MoeNVP64_1|65658|CE65137_409	0	0	0	0.213056	0	4.93193
jgi|MoeNVP64_1|65281|CE64760_49	0	0	0	0	0	0.194056
jgi|MoeNVP64_1|65237|CE64716_133	0	0	0	0.220718	0.976511	0.547059
jgi|MoeNVP64_1|65197|CE64676_135	0	0	0	0	0.099954	0
jgi|MoeNVP64_1|65192|CE64671_43	0	0	0	0	0	0.080534
jgi|MoeNVP64_1|6506|CE5985_197	0	0	0	0.084325	0	0.304289
jgi|MoeNVP64_1|79235|CE78714_288	0	0	0	0.351399	0.13788	0.393804
jgi|MoeNVP64_1|64721|CE64200_210	0	0	0	0	0.068278	0
jgi|MoeNVP64_1|64556|CE64035_4253	0	0	0	0.382408	0.232426	1.23681
jgi|MoeNVP64_1|64432|CE63911_7909	0	0	0	0.203428	0.163737	0.740808
jgi|MoeNVP64_1|64207|CE63686_172	0	0	0	0	0	0.026236
jgi|MoeNVP64_1|63555|CE63034_1820	0	0	0	0.073524	0.084284	0.594335
jgi|MoeNVP64_1|63540|CE63019_77	0	0	0	0	0	0
jgi|MoeNVP64_1|63446|CE62925_5023	0	0	0	0.603084	1.30024	18.2948
jgi|MoeNVP64_1|63313|CE62792_3060	0	0	0	0.331169	0.428222	1.22084
jgi|MoeNVP64_1|63310|CE62789_3403	0	0	0	0.059419	0.059617	0.636032
jgi|MoeNVP64_1|630|CE109_805	0	0	0	0.096319	0	0.522662
jgi|MoeNVP64_1|62730|CE62209_977	0	0	0	0.27851	0.21722	1.15079
jgi|MoeNVP64_1|62526|CE62005_2239	0	0	0	0.013332	0	0.071113
jgi|MoeNVP64_1|62045|CE61524_2763	0	0	0	0.115932	0.203755	0.491137
jgi|MoeNVP64_1|61796|CE61275_17	0	0	0	0	0	0
jgi|MoeNVP64_1|61594|CE61073_54	0	0	0	0	0	0.439553
jgi|MoeNVP64_1|61563|CE61042_278	0	0	0	0	0	0
jgi|MoeNVP64_1|61554|CE61033_144	0	0	0	0	0	0
jgi|MoeNVP64_1|60907|CE60386_1065	0	0	0	0.059978	0	0.357426
jgi|MoeNVP64_1|60813|CE60292_30	0	0	0	0	0	0
jgi|MoeNVP64_1|60184|CE59663_658	0	0	0	1.53543	0.688	6.64447
jgi|MoeNVP64_1|63309|CE62788_1538	0	0	0	0.027903	0	0.066347
jgi|MoeNVP64_1|60177|CE59656_5	0	0	0	0	0	0
jgi|MoeNVP64_1|59318|CE58797_2108	0	0	0	1.05821	0.737918	2.21667
jgi|MoeNVP64_1|58859|CE58338_782	0	0	0	0.096467	0.28039	1.17466
jgi|MoeNVP64_1|58607|CE58086_990	0	0	0	0	0	0
jgi|MoeNVP64_1|58359|CE57838_2161	0	0	0	0.042668	0.159227	0.616013
jgi|MoeNVP64_1|58297|CE57776_13	0	0	0	0	0	0
jgi|MoeNVP64_1|58284|CE57763_843	0	0	0	0	0	0
jgi|MoeNVP64_1|58169|CE57648_107	0	0	0	0	0	0
jgi|MoeNVP64_1|58076|CE57555_473	0	0	0	0	0.475362	1.17797
jgi|MoeNVP64_1|57474|CE56953_631	0	0	0	0	0	0.039892
jgi|MoeNVP64_1|57134|CE56613_867	0	0	0	0.250277	0.111165	2.77054
jgi|MoeNVP64_1|57005|CE56484_30	0	0	0	0	0	0
jgi|MoeNVP64_1|56810|CE56289_146	0	0	0	0.034295	0.017098	0.163311
jgi|MoeNVP64_1|54967|CE54446_5244	0.367263	0	0	5.9223	3.10583	29.5844
jgi|MoeNVP64_1|54774|CE54253_86	0	0	0	0	0	0
jgi|MoeNVP64_1|54668|CE54147_2593	0	0.034766	0	0.340047	0.178183	2.20451
jgi|MoeNVP64_1|54455|CE53934_1646	0	0	0	0.153883	0.038145	0.194809
jgi|MoeNVP64_1|53126|CE52605_64107	0	0	0	0.028517	0.073788	0.147698
jgi|MoeNVP64_1|53037|CE52516_1519	0	0	0	0.196702	0.221644	0.39577
jgi|MoeNVP64_1|52692|CE52171_1553	0	0	0	0.172823	0.137283	0.596685
jgi|MoeNVP64_1|52403|CE51882_1161	0	0	0	0.0626	0.048021	0.292313
jgi|MoeNVP64_1|52217|CE51696_297	0	0	0	0	0.172278	0.632347
jgi|MoeNVP64_1|52170|CE51649_428	0	0	0	0	0	0.018086
jgi|MoeNVP64_1|52012|CE51491_389	0	0	0	0	0	0.076456
jgi|MoeNVP64_1|51931|CE51410_5910	0	0	0	0.051693	0.034355	0.984647
jgi|MoeNVP64_1|51753|CE51232_945	0	0	0	0.255313	0.054912	1.15355
